City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Mollendo,PE,2022-07-27 01:38:33,-17.0231,-72.0147,59.43,87,97,8.03
281,Saldanha,ZA,2022-07-27 01:41:22,-33.0117,17.9442,50.05,88,0,7.4
282,Kirkwall,GB,2022-07-27 01:41:22,58.9848,-2.9587,51.96,93,100,6.91
283,Valentigney,FR,2022-07-27 01:41:23,47.4639,6.8317,61.75,91,20,2.8
284,Longyearbyen,SJ,2022-07-27 01:41:23,78.2186,15.6401,48.04,76,75,4.61
285,Cotonou,BJ,2022-07-27 01:41:23,6.3654,2.4183,78.78,83,40,13.8
286,Basse-Pointe,MQ,2022-07-27 01:41:24,14.8695,-61.115,79.84,37,7,17.67
287,Ensley,US,2022-07-27 01:41:24,30.5188,-87.2728,85.59,83,20,6.91
288,Guerrero Negro,MX,2022-07-27 01:41:25,27.9769,-114.0611,70.88,77,8,13.73
289,Nushki,PK,2022-07-27 01:41:25,29.5542,66.0215,80.94,67,17,3.76
290,Rio Cuarto,AR,2022-07-27 01:41:25,-33.1307,-64.3499,62.56,94,86,5.91
291,Maxixe,MZ,2022-07-27 01:41:26,-23.8597,35.3472,60.03,78,0,1.74
